references,ss_code,course_subject,sessions,course_number,year_offered,evaluation,start_date,course_title,format,course_objective,textbooks,instructor,compulsory,course_outline,term,room,prerequisites,offered_this_year,notes,other_instructors,day_and_time,credit,open_to,sheetno,sheetname
,cl124,PROFESSIONAL STUDIES IN INTERNATIONAL HUMAN RIGHTS LAW  II,"<tr><td><div>1</div></td><td><div>

Guidance and Planning

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Introductory Lecture on UPR

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Canada

</div></td></tr>

<tr><td><div>4</div></td><td><div>

France

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Russia

</div></td></tr>

<tr><td><div>6</div></td><td><div>

South Africa

</div></td></tr>

<tr><td><div>7</div></td><td><div></div></td></tr>

<tr><td><div>8</div></td><td><div></div></td></tr>

<tr><td><div>9</div></td><td><div></div></td></tr>

<tr><td><div>10</div></td><td><div></div></td></tr>

<tr><td><div>11</div></td><td><div></div></td></tr>

<tr><td><div>12</div></td><td><div></div></td></tr>

<tr><td><div>13</div></td><td><div></div></td></tr>",227,,"<p>Quality of the presentation 40%</p>
<p>Contribution to the discussion 30%</p>
<p>Attendance at the classes 30%</p>
<p>(More than 80% attendance is mandatory)</p>",2013-10-01,Seminar on Human Rights and Refugee Law,Seminar,,,K Obata,,"<p>In this seminar, we choose some current problems relating to International Human Rights Law or Refugee Law as topics, and read relevant materials and/or articles.</p>
<p>In every class, reporter(s) make(s) presentation(s) on the assigned subject(s), and the discussion among participants follows.</p>",Fall,Seminar Room 905,"The participants are supposed to have the basic knowledge on International Law in general and Human Rights Law, as provided in the course of ""Professional Studies in International Law"" and ""Professional Studies in International Human Rights Law.""",,,,Tue 13:00-14:30,2,M1&amp;M2,0,Courses
"<p>Mitsuo Matsushita, Thomas J. Schoembaum and Petros C. Mavroidis. 2006. The World Trade Organization: Law, Practice, and Policy. 2nd edition. Oxford University Press.</p>
<p>For other recommedation, visit the following website: http://www.gsid.nagoya-u.ac.jp/fkawa/iel/recommendation.html .</p>
<p>Visit the WTO Distance Learning website:</p>
<p>http://www.wto.org/english/res_e/d_learn_e/d_learn_e.htm .</p>",cl125,WTO,"<tr><td><div>1</div></td><td><div>

Orientation

</div></td></tr>

<tr><td><div>2</div></td><td><div>

History

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Framework

</div></td></tr>

<tr><td><div>4</div></td><td><div>

DS 1

</div></td></tr>

<tr><td><div>5</div></td><td><div>

DS 2

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Market Access

</div></td></tr>

<tr><td><div>7</div></td><td><div>

MFN 1

</div></td></tr>

<tr><td><div>8</div></td><td><div>

MFN 2

</div></td></tr>

<tr><td><div>9</div></td><td><div>

NT 1

</div></td></tr>

<tr><td><div>10</div></td><td><div>

NT 2

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Exception 1

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Exception 2

</div></td></tr>

<tr><td><div>13</div></td><td><div>

SG

</div></td></tr>

<tr><td><div>14</div></td><td><div>

AD

</div></td></tr>

<tr><td><div>15</div></td><td><div>

SCM

</div></td></tr>",228,,"Attendance: 30%, contribution: 30%, assignment, test or paper: 40%",2013-04-16,Studies in Law on WTO,Lecture,"In the short-term, this course aims that participants become able to analyze given trade-related cases in terms of consistency with the WTO law. In the long-term, it can provide them with basic knowledge necessary for further discussion on issues including influence of WTO law on domestic laws, economic and industrial policies of Member countries and the role of WTO law in Global Governance.",Materials to be distributed in the first and following classes.,F Kawashima,,"This course focuses on the law of the World Trade Organization (WTO). It examines both its institutional and substantive aspects including its structure, decision making procedures, and dispute settlement procedures as well as major principles to promote free trade.",Spring,GSID LECTURE ROOM No.1,Much easier to understand if participants have already learnt international law.,,,,Tue 13:00-14:30,2,M1&amp;M2,0,Courses
"<p>World Trade Organization, ""The Legal Texts: The Results of the Uruguay Round of Multilateral Trade Negotiations"" (Cambridge UP)</p>
<p>Students may receive a reading list during the course.</p>",cl126,PROFESSIONAL STUDIES IN INTERNATIONAL ECONOMIC LAW  II,,229,,"Students will be assessed by a report, as well as their presentations and contributions to class discussion.",2013-04-15,Problems of International Economic Law,Seminar,The aim of this course is to develop an understanding of the principles of international economic law.,There is no set text.,T Mizushima,,"This course is designed to examine some problems of international economic law, including the World Trade Organization legal system and international investment law. The course topics will be chosen in consultation with students. In 2012, we took up various articles in 'Special Focus: Ten Years of China's WTO Membership', European Yearbook of International Law, Volume 3, 2012. Students are expected to undertake presentations on assigned topics and make positive contributions to class discussion.",Spring,Seminar Room 22,Some prior knowledge of international law is useful but not essential. It is desirable that students will have taken 'Professional Studies in International Law' and 'Professional Studies in International Economic Law I'.,,,,Mon 10:30-12:00,2,M1&amp;M2,0,Courses
,cl127,COMPARATIVE STUDIES IN CIVIL LAW  I,"<tr><td><div>1</div></td><td><div>

Introduction - Planning to the lecture

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Introduction to Civil Law

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Formation of contract(1)

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Formation of contract(2)

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Formation of contract(3)

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Validy of contract(1)

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Validy of contract(2)

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Validy of contract(3)

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Validy of contract(4)

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Performanc and Non-paerformance of contract(1)

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Performanc and Non-paerformance of contract(2)

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Ex-contract(1)

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Ex-contract(2)

</div></td></tr>

<tr><td><div>14</div></td><td><div>

Ex-contract(3)

</div></td></tr>

<tr><td><div>15</div></td><td><div>

Examination

</div></td></tr>",230,,Group presentation and Report,,Contract Law,Lecture,Understanding the way of thinking of Lawyers(IRAC),Using presentation of lecturer,S Kagayama,,"<ol>
<li>
<p>Introduction Planning to the lecture</p>
</li>
<li>
<p>Stolen backhoe case, Exercise 1</p>
</li>
<li>
<p>Introduction to Civil Law</p>
</li>
</ol>
<p>(A) What is Civil Law? Exercise 2 and 3</p>
<p>(B) History of Civil Code of Japan</p>
<p>(C) Comparison Civil Code of Japan with Uniform law (CISG, Unidroit Principles and PECL)</p>
<ol>
<li>
<p>Formation of Contract</p>
</li>
<li>
<p>Principles of the formation of contract, Exercise 4 and 5</p>
</li>
<li>
<p>Validity of Contract</p>
</li>
<li>
<p>Principles of the validity of contract, Exercise 6 and 7</p>
</li>
<li>
<p>Performance of Contact</p>
</li>
</ol>
<p>(A) Principles of the contents of contract</p>
<p>(B) Principle s of the performance of contract</p>
<ol>
<li>
<p>Non- performance of contact and its remedies</p>
</li>
<li>
<p>Principles of the non-performance and remedies of contract, Exercise 8 and 9</p>
</li>
<li>
<p>Principles of unjust enrichment, Exercise 10</p>
</li>
<li>
<p>Presentation of participants groups</p>
</li>
</ol>",,911,,,,,"6-9,August",2,M1&amp;M2,0,Courses
"<p>Materials on tort law</p>
<ul>
<li>Hiroshi ODA, ""Japanese Law"" , 2nd edition Oxford (1999)</li>
</ul>
<p>*Tatsuaki Maeda, ""Law of Torts in General ""in""Doing Business in Japan "", Vol. 5"" Mathew Bender (2002)</p>",cl166,Comparative Studies in Civil Law II,,231,,Group presentation and Report,,Comparative Considerations of Tort Law,Lecture,"Understanding of the distinguishing characteristic of your country's Tort Law, comparing with several Tort Laws of this lecture's participants.",,S Kagayama,,"<ol>
<li>Introduction</li>
</ol>
<p>(A) Frequency of application of the tort law by Japanese courts</p>
<p>(B) Types of law of tort in the world</p>
<ol>
<li>General tort law</li>
</ol>
<p>(A) Illustration of Point of Due Care</p>
<p>(a) Breach of the duty of foreseenability</p>
<p>(b) Breach of the duty of avoidability</p>
<p>B. Causality between the tortfeasor's act and damages</p>
<p>(a) Factual causation</p>
<p>(b) Adequate causation</p>
<ol>
<li>Specific tort law</li>
</ol>
<p>(A) Case study on joint torts</p>
<p>(a) Judgment of Supreme Court, 13 March, 2001</p>
<p>(b) Judgment of Supreme Court, 11 July, 2003</p>
<p>(B) Products Liability</p>
<p>4 .Summary of the Lecture</p>
<ol>
<li>
<p>Presentation of your group</p>
</li>
<li>
<p>The results of the application of your country's Tort law to the same cases which I prepared in my lecture.</p>
</li>
</ol>",,911,,,,,"20-23,August",2,M1&amp;M2,0,Courses
"<p>Websites of the Supreme Court and UNAFEI</p>
<p>Hiroshi Oda, Japanese Law, 3rd ed. (Oxford University Press, 2009), ISBN 9780199232185.</p>
<p>Shigemitsu Dando (translated by B. J. George), The Criminal Law of Japan: The General Part (F. B. Rothman, 1997).</p>
<p>Daniel H. Foote (ed.), Law in Japan (University of Washington Press, 2007).</p>
<p>Curtis J. Milhaupt / J. Mark Ramseyer / Mark D. West, The Japanese Legal System: Cases, Codes, and Commentary (Foundation Press, 2006).</p>",cl128,COMPARATIVE STUDIES IN CRIMINAL LAW,"<tr><td><div>1</div></td><td><div>

Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

History of Japanese Criminal Justice System

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Basic Structure of Japanese Criminal Justice System

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Court System and Court Reports

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Purposes and Principles of Criminal Law

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Structure of the General Part of Criminal Law

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Topics in the General Part of Criminal Law

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Structure of the Special Part of Criminal Law

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Topics in the Special Part of Criminal Law

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Business Activities and Crime

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Future of Japanese Criminal Law

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Criminal Law in Southeast Asian Countries

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Criminal Law in Central and East Asian Countries

</div></td></tr>

<tr><td><div>14</div></td><td><div>

Closing Discussion

</div></td></tr>",232,,Participation / Presentation of the participant's national criminal legal system,,Development of National Criminal Law under the Influence of Foreign and International Law,Lecture,"<ul>
<li>
<p>Understanding basic structure of Japanese criminal legal system</p>
</li>
<li>
<p>Comparison of different legal systems in the world</p>
</li>
<li>
<p>Brief presentation of each national system and reform proposals</p>
</li>
</ul>",Photocopies of materials will be distributed at the beginning of the course.,K Takayama,,"The purpose of this course is to analyze development of national criminal law under the influence of foreign and international law. Comparison between different judicial families such as common law countries, countries with continental European legal tradition, Islamic countries and so on will be particularly focused on. Participants are required to report their country's experience and their view on desirable legislation in the future. Legal systems in general as well as specific topics in criminal law and criminal procedure will be discussed.",,911,,,,,"3-6,September",2,M1,0,Courses
"<p>Hiroshi Oda, Japanese Law (3d ed. 2009); </p>
<p>Carl F. Goodman, The Rule Of Law In Japan: A Comparative Analysis (Rev. ed. 2008); </p>
<p>Daniel H. Foote (ed.) , Law in Japan: A Turning Point (2007); </p>
<p>Curtis J. Milhaupt, J. Mark Ramseyer &amp; Mark D. West, Japanese Legal System: Cases, Codes And Commentary (2006)</p>",cl129,COMPARATIVE STUDIES IN JUDICIAL SYSTEM,"<tr><td><div>1</div></td><td><div>

Basic System, Models and Concepts

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Civil Procedure in Japan

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Appeal, Remedy and Related Issues

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Cost of Litigation

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Students' Presentation and Discussion

</div></td></tr>",233,,"<p>Attendance &amp; Participation 30%;</p>
<p>Classroom Assignments (Writing and others) 20%;</p>
<p>Final Essay 50%.</p>",,Introduction to the Civil Justice System,Lecture,To understand basic structure and features of the Japanese judicial system in comparative perspective.,Reading materials will be given.,Y Nakamura,,"<p>アジア諸国との比較という視点から、日本の司法制度を紹介する。受講学生の出身国の司法制度についての考察も含む。</p>
<p>1 ．日本の裁判制度の理念と実際</p>
<p>2 ．日本の法曹（裁判官・検察官・弁護士）</p>
<p>3 ．アジア諸国における司法制度</p>
<p>4 ．司法制度の改革問題</p>
<p>This course is an introduction to the Japanese judicial system in comparative perspective with Asian countries. Discussion about judicial reform of each country of the students are also included.</p>
<p>1 ．Theory and practice of the Japanese judicial system;</p>
<p>2 ．Legal professions（judges, public prosecutors, and lawyers）in Japan;</p>
<p>3 ．The judicial systems of Asian countries; and</p>
<p>4 ．Issues related to judicial reform in Asian countries.</p>",,911,"No specific requirements, but good reading, writing, and communication skills preferred.",,,,"26-30,August",2,M1&amp;M2,0,Courses
Sources and materials for the course will be elctronically provided for in August.,cl130,COMPARATIVE STUDIES IN BUSINESS LAW  II,"<tr><td><div>1</div></td><td><div>

Dates of the classes

</div></td></tr>",234,,A good attendance and attitude are expected. Presentations are to be given at least once during the course and discussions in each class will affect overall assessment.,,Corporate Law I 〈not offered in 2013〉,Lecture,Each student is expected to have not only general information and knowledge about company law but also nature and purpose of the systems under the legislation from the comparison with some other country's regimes.,"A.Cahn and D.C.Donald, Comparative Company Law, Cambridge University Press (2010)",,,"This course aims to explore some characterised regimes of company law from the comparative perspective. Each class particularly deals with specific topics in company law, inspired by the discussions made in theory and practice of German, UK and US companay law in a comparative manner. Depending on students' interests and enthusiasm, the comparison can extend to Japanese or students home country's counterparts.",,,"Expected students should show a strong interest in the topics, an enthusiasm for study and active participation in the classes. Each student is required to make a presentation at least once during the course.",,,,,2,M1&amp;M2,0,Courses
Reference materials will be photocopied and distributed as necessary.,cl175,Corporate Law II,,235,,"Attendance, presentations, written comments and reports, and also active participation in discussions, affect overall evaluation.",,Corporate Law II,Lecture,"The aim of this course is to provide a basic, common framework of company law for students from various countries and backgrounds. Students are expected to develop their interest and knowledge to review and rebuild their own countries' framework of company law during the course.",Textbooks will be selected prior to the first day of the intensive course and the registered students will be informed.,J Ueda,,"This course deals with hot issues in company law. Various frameworks of company law from developed jurisdictions are explored comparatively. However, the comparison is not only done between statute and case law, but also by taking other elements including economic policies and social maturity into consideration. In addition to required reading, students will make a presentation at least once during the course.",,911,Students should show strong interest and enthusiasm for the study of company law.,,,,"10-11, 17-18 September",2,M1&amp;M2,0,Courses
to be announced in class.,cl131,Japanese Modernization,"<tr><td><div>1</div></td><td><div>

3 October

Guidance

</div></td></tr>

<tr><td><div>2</div></td><td><div>

10 October

Meiji Reform 1

</div></td></tr>

<tr><td><div>3</div></td><td><div>

17 October

Meiji Reform 2

</div></td></tr>

<tr><td><div>4</div></td><td><div>

24 October Meiji 

Reform 3

</div></td></tr>

<tr><td><div>5</div></td><td><div>

31 October 

Meiji Reform 4

</div></td></tr>

<tr><td><div>6</div></td><td><div>

7 November

Meiji Reform 5

</div></td></tr>

<tr><td><div>7</div></td><td><div>

14 November

Meiji Reform 6

</div></td></tr>

<tr><td><div>8</div></td><td><div>

21 November

Occupied Japan 1

</div></td></tr>

<tr><td><div>9</div></td><td><div>

28 November

Occupied Japan 2

</div></td></tr>

<tr><td><div>10</div></td><td><div>

5 December

Occupied Japan 3

</div></td></tr>

<tr><td><div>11</div></td><td><div>

12 December

Occupied Japan 4

</div></td></tr>

<tr><td><div>12</div></td><td><div>

19 December

Occupied Japan 5

</div></td></tr>

<tr><td><div>13</div></td><td><div>

26 December

all day

</div></td></tr>

<tr><td><div>14</div></td><td><div>

16 January

Fainal presentation

</div></td></tr>",236,,"<p>Class attendance (including home works): 30%</p>
<p>Class presentation: 40%</p>
<p>Final report: 30%</p>",,Japanese modernization〈not offered in 2013〉,Seminar,The aim of this course is to develop student knowledge of Japanese political changing and understanding about their own countries objectively through comparing Japanese reforms with thier countries reforms.,"<p>John W. Dower. Embracing Defeat: Japan in the Wake of World War II. </p>
<p>Marius B. Jansen (eds.).The Cambridge History of Japan, Vol. 5: The Nineteenth Century.</p>",,,This course deals with several important topics in the early Meiji period and the occupied Japan post World War �. Students will be required to make a presentation and discuss some topics in the text books each class.,Fall,,This course requires basic knowledge of modern world history.,,,,,2,M1&amp;M2,0,Courses
,cl132,COMPARATIVE STUDIES IN POLITICS II,,237,,,,Japanese Diplomacy and International Politics〈not offered in 2013〉,Lecture,,,,,"<p>This course is designed to help students to understand the evolution of Japanese diplomacy and the dynamics of contemporary international relations:</p>
<p>1 ．History of Japanese Foreign Policy since the Meiji Restoration</p>
<p>2 ．The Role of Japan in Asian Security Cooperation</p>
<p>3 ．History of International Relations Theory</p>
<p>4 ．International Security in the Post-Cold War Era</p>
<p>5 ．The United Nations and International Organizations</p>",Fall,,,,,,,2,M1&amp;M2,0,Courses
,cl167,PUBLIC ADMINISTRATION,,238,,Participation and Report.,,Comparative public administration〈not offered in for 2013〉,Seminar,,"<p>Ali Farazmand(ed.), Handbook of Comparative and Development Public Administration, CRC Press, 2001</p>
<p>Eric Edwin Otenyo and Nancy S. Lind, Comparative Public Administration: The Essential Readings, JAI Press, 2006.</p>",,,"<p>In the first half of the seminar, we read each chapter of the text(below) on comparative pubilic administration and discuss about the arguments.</p>
<p>In the second, each student reports about the Public Admninistration of his/her country and discuss about the report.</p>",Fall,,,,,,,2,M1&amp;M2,0,Courses
To be mentioned in class.,cl134,Political Theory of Modern Europe,,239,,"<p>Attendance: 40%</p>
<p>Contribution to class debates: 30%</p>
<p>Final report: 30%</p>",,History of political theories,Lecture,"<p>1)To understand each political thinker in his or her historical context.</p>
<p>2)To grasp several concepts of the political in modern Europe.</p>
<p>3)To build imagination to have a conversation with historical figures and apply their questions to our situation.</p>",We read some articles that help us understand the essential questions of political philosophy(Copies are prepared). What topics to choose is going to be decided in class.,T Kato,,"<p>Political theory, or thinking politics philosophically, has its origin in Ancient Greece, but especially, what is intended in this lecture is an introduction to political philosophy in the modern Western world. We are going to deal with a variety of thinkers, concepts, and questions that constitute the important parts of western political philosophy in the modern era. As political theories in Europe and the values they discovered in modern times have greatly influeced on our cultures, to know them is also to know ourself rightly. </p>
<p>Students are required not only to read articles precisely before each class but also to take part in argument in class. Through thinking and questioning together, we will deepen and widen our understanding of the topics.</p>",2 10 10,,none,,,,Thu 13:00-14:30,2,M1&amp;M2,0,Courses
,cl151,SPECIAL RESEARCH  I,,240,,,,Tutorials I,Tutorial,,,academic advisor,Yes,,,,,,,,,4,M1,0,Courses
,cl152,SPECIAL RESEARCH  II,,241,,,,Tutorials II,Tutorial,,,academic advisor,Yes,,,,,,,,,4,M2,0,Courses
"<p>特に指定しない。</p>
<p>Not Specified.</p>",cl135,SPECIAL LECTURE AND SEMINAR,"<tr><td><div>1</div></td><td><div>

Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Toyota Professors' Lectures

</div></td></tr>",242,,"<p>出席、授業への取組み姿勢、レポート提出状況などを総合的に判断。</p>
<p>Performance of students will be assessed on the basis of attendance, participation in discussions and reports/presentation.</p>",,Corporate Legal Practices〈not offered in 2013〉,Seminar,"<p>グローバルに事業展開している日本企業の社内法務機能の実際を知ることができる。</p>
<p>To learn functions and practices of in-house legal department of Japanese companies operating on a worldwide basis.</p>","<p>特に指定しない。授業で適宜指定・配布する。</p>
<p>Not specified.  Materials will be specified/distributed on each classes.</p>",,,"<p>グローバル企業における法務の実際を学ぶ。トヨタ法務会議から講師をお招きして</p>
<p>クラスを進める。</p>
<p>The course provides students with exposure to actual legal practices of the Japanese companies operating on a worldwide basis. We will have visiting professors from Toyota Group Legal Meeting for the classes.</p>",Fall,,"<p>企業法務に興味を持ち、意欲的に授業に参加できること。</p>
<p>Professors hope that students are interested in in-house legal department, and are eager to participating in classes.</p>",,,,,1,M1&amp;M2,0,Courses
,cl136,SPECIAL LECTURE AND SEMINAR,,243,,,2013-10-03,Workshop on International Negotiation,Seminar,,"Fisher, Ury &amp; Patton, ""Getting to Yes""（1991）",F Bennett,,"<p>This special subject will cover negotiation and debating skills relevant to international business transactions. The course will be divided into two parts.</p>
<p>In a series of practical exercises, members of the class will be divided into teams, and attempt to negotiate on the basis of facts given in the materials for the exercise. In most class sessions, half of class time will be assigned to the negotiation exercise, and half to discussion of the outcome.</p>",Fall,BUNKEI-SOUGOUKAN 409/410,,,,,Thu 8:45-12:00 (semi-weekly),2,M1&amp;M2,0,Courses
,cl137,SPECIAL LECTURE AND SEMINAR,"<tr><td><div>1</div></td><td><div>

第1回　10月9日　岡本道郎　（編集局次長）

読売新聞と海外報道

October 9, 14:45 - 16:15

</div></td></tr>

<tr><td><div>2</div></td><td><div>

第２回　１０月１６日　滝田恭子（科学部次長）

アジアの宇宙時代

October 16, 14:45-16:15

</div></td></tr>

<tr><td><div>3</div></td><td><div>

第３回　１０月２３日　宮智　泉（生活部長）

October 23, 14:45-16:15

</div></td></tr>

<tr><td><div>4</div></td><td><div>

第４回　１０月３０日　高須賀茂文（英字新聞部次長）

一つの言葉で対話するアジア

October 30, 14:45-16:15

</div></td></tr>

<tr><td><div>5</div></td><td><div>

第５回、６回　１１月６日　結城和香子（編集委員）

世界のスポーツとアジア

November 6, 14:45-16:15, 16:30-18:00

</div></td></tr>

<tr><td><div>6</div></td><td><div></div></td></tr>

<tr><td><div>7</div></td><td><div>

第７回　１１月１３日　福島利之（元カイロ特派員）

November 13, 14:45-16:15

</div></td></tr>

<tr><td><div>8</div></td><td><div>

第８回、９回　１１月２０日　笹島雅彦（調査研究本部主任研究員）

日本の安全、アジアの安全 November 20, 

14:45-16:15, 16:30-18:00

</div></td></tr>

<tr><td><div>9</div></td><td><div></div></td></tr>

<tr><td><div>10</div></td><td><div>

第１０回　１１月２７日　鶴原徹也（解説部長）

November 27, 14:45-16:15

</div></td></tr>

<tr><td><div>11</div></td><td><div>

第１１回　１２月４日　源一秀（前台北支局長）

日台関係　深い絆の背景 December 4, 14:45-16:15

</div></td></tr>

<tr><td><div>12</div></td><td><div>

第１２回　１２月１１日　大塚隆一（編集委員）

フクシマと原子力の未来

December 11, 14:45-16:15

</div></td></tr>

<tr><td><div>13</div></td><td><div>

第１３回　１２月１８日　南　砂（医療部長）

国際化・日本の課題

December 18, 14:45-16:15

</div></td></tr>

<tr><td><div>14</div></td><td><div>

第１４回　１月１５日　中島健太郎（政治部記者）

January 15, 14:45-16:15,

</div></td></tr>

<tr><td><div>15</div></td><td><div>

第１５回　１月２２日　栗山倫子（メディア戦略局）January 22, 14:45-16:15

</div></td></tr>",244,,Participation (attendance) and submitting report at the end of the course (assignment of the report will be provided through the cordinator of the course),2013-10-02,YOMIURI SHIMBUN Special Lecture: Comparative Asian Corporate Theory,Lecture,,,M Ohkohchi,,"<p>アジアからの留学生に読売新聞東京本社の講師による米国での講義の経験や世界又は日本での取材体験を基にした日本とアジアについての講義を行い、帰国後、国の将来を担うグローバルな視点を持たせるとともに、あわせて、新聞報道についての関心を高めることを目的とする。英語により講義を行う。</p>
<p>Lecturers from the Tokyo Office of The Yomiuri Shimbun will conduct this course in English, based on their on-the-spot news covering activities in Japan and many other countries, including the United States, as well as teaching experiences in California. A series of topics related to Japan and other Asian countries will be included in the lecture. The objective of this course is not only to provide Asian students with global visions and to prepare themselves as future leabers of their respective countries but also to promote their interests in the task of news reportage.</p>",Fall,LECTURE ROOM 911,Good command of English,,,Yomiuri Shimbun Tokyo staff,Wed 14:45 to 18:00,2,M1&amp;M2,0,Courses
